"","title","jcode","vol","no","pages","author1","author2","author3","author4","author5","keyauthor1","keyauthor2","keyauthor3","keyauthor4","keyauthor5","authors"
"1492","Credit Rationing and Payment Incentives",5,50,4,8,"Franklin Allen","","","","","OtherAuthor","","","","",1
"1493","Credit Rationing and the Monetary Transmission Mechanism",1,81,4,6,"John McCallum","","","","","OtherAuthor","","","","",1
"1494","Credit Rationing in Markets with Imperfect Information",1,71,3,8,"Joseph E. Stiglitz","Andrew Weiss","","","","OtherAuthor","WEISS21","","","",2
"1495","Credit Rationing?",1,90,1,5,"Dan Bernhardt","","","","","Bernhardt","","","","",1
"1496","Credit, Incentives, and Reputation: A Hedonic Analysis of Contractual Wage Profi",2,104,6,55,"Loren Brandt","Arthur J. Hosios","","","","OtherAuthor","OtherAuthor","","","",2
"1497","Credit-Worthiness Tests and Interbank Competition",4,58,2,24,"Thorsten Broecker","","","","","OtherAuthor","","","","",1
"1498","Crime and Social Interactions",3,111,2,42,"Edward L. Glaeser","Bruce Sacerdote","Jose A. Scheinkman","","","Glaeser","OtherAuthor","Scheinkman","","",3
"1499","Crime on the Court",2,92,2,13,"Robert E. McCormick","Robert D. Tollison","","","","OtherAuthor","OtherAuthor","","","",2
"1500","Criteres Simples pour la Prise en Compte du Risque",4,49,1,18,"Claude Henry","","","","","OtherAuthor","","","","",1
"1501","Critical Evidence on Comparative Advantage? North-North Trade in a Multilateral",2,105,5,10,"Donald R. Davis","","","","","DAVIS12","","","","",1
"1502","Cross Hedging,",2,89,6,15,"Ronald W. Anderson","Jean-Pierre Danthine","","","","OtherAuthor","OtherAuthor","","","",2
"1503","Cross-Country Evidence on the Link Between Volatility and Growth",1,85,5,14,"Garey Ramey","Valerie A. Ramey","","","","Ramey16","Ramey16A","","","",2
"1504","Cross-Regime Evidence of Macroeconomic Rationality",2,92,5,34,"Roger C. Kormendi","Philip G. Meguire","","","","OtherAuthor","OtherAuthor","","","",2
"1505","Cross-Sectional Efficiency and Labour Hoarding in a Matching Model of Unemployme",5,61,3,22,"Giuseppe Bertola","Ricardo J. Caballero","","","","OtherAuthor","OtherAuthor","","","",2
"1506","Cultural Beliefs and the Organization of Society: A Historical and Theoretical R",2,102,5,39,"Avner Greif","","","","","Greif","","","","",1
"1507","Culture and Language",2,107,6,32,"Edward P. Lazear","","","","","OtherAuthor","","","","",1
"1508","Culture as a Bubble",2,106,2,19,"Guido Cozzi","","","","","OtherAuthor","","","","",1
"1509","Culture, Information, and Screening Discrimination",2,104,3,30,"Bradford Cornell","Ivo Welch","","","","OtherAuthor","Welch6","","","",2
"1510","Currencies and the Allocation of Risk: The Welfare Effects of a Monetary Union",1,88,1,14,"Pablo Andres Neumeyer","","","","","OtherAuthor","","","","",1
"1511","Currency and Credit in a Private Information Economy",2,97,6,22,"Robert M. Townsend","","","","","Townsend3","","","","",1
"1512","Currency Exchange in a Random Search Model",5,64,2,22,"Ruilin Zhou","","","","","Zhao28","","","","",1
"1513","Currency Substitution and Foreign Inflation",3,98,1,8,"Chau-Nan Chen","Tien-Wang Tsaur","","","","OtherAuthor","OtherAuthor","","","",2
"1514","Currency Substitution and Instability in the World Dollar Standard",1,72,3,14,"Ronald I. McKinnon","","","","","OtherAuthor","","","","",1
"1515","Currency Substitution, Foreign Inflation, and Terms-of-Trade Dynamics",2,97,4,10,"Chau-nan Chen","Tien-wang Tsaur","Shun-chieh Liu","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"1516","Currency Unions",3,117,2,28,"Alberto Alesina","Robert J. Barro","","","","Alesina","Barro","","","",2
"1517","Current Account Dynamics and the Terms of Trade: Harberger-Laursen-Metzler Two G",2,93,1,23,"Torsten Persson","Lars E. O. Svensson","","","","OtherAuthor","Svensson","","","",2
"1518","Current Accounts in Debtor and Creditor Countries",3,115,4,30,"Aart Kraay","Jaume Ventura","","","","OtherAuthor","Ventura","","","",2
"1519","Current Real-Business-Cycle Theories and Aggregate Labor-Market Fluctuations",1,82,3,21,"Lawrence J. Christiano","Martin Eichenbaum","","","","OtherAuthor","Eichenbaum","","","",2
"1520","Customer- and Supplier-Driven Externalities",1,84,4,10,"Eric J. Bartelsman","Ricardo J. Caballero","Richard K. Lyons","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"1521","Customer Discrimination and Employment Outcomes for Minority Workers",3,113,3,33,"Harry J. Holzer","Keith R. Ihlanfeldt","","","","OtherAuthor","OtherAuthor","","","",2
"1522","Customer Racial Discrimination in the Market for Memorabilia: The Case of Baseba",3,105,3,21,"Clark Nardinelli","Curtis Simon","","","","OtherAuthor","OtherAuthor","","","",2
"1523","Cyclic Pricing by a Durable Goods Monopolist",3,99,3,17,"John Conlisk","Eitan Gerstner","Joel Sobel","","","Conlisk","OtherAuthor","Sobel16","","",3
"1524","Cyclical Consumption Patterns and Rational Addiction",1,83,1,8,"Engelbert J. Dockner","Gustav Feichtinger","","","","OtherAuthor","OtherAuthor","","","",2
"1525","Cyclical Delay in Bargaining with Externalities",5,62,4,19,"Philippe Jehiel","Benny Moldovanu","","","","OtherAuthor","OtherAuthor","","","",2
"1526","Cyclical Fluctuations in Strike Durations",1,79,4,15,"Alan Harrison","Mark Stewart","","","","OtherAuthor","OtherAuthor","","","",2
"1527","Cyclical Unemployment: Sectoral Shifts or Aggregate Disturbances?",2,93,3,16,"Katharine G. Abraham","Lawrence F. Katz","","","","OtherAuthor","Katz1","","","",2
"1528","Dalton-Improving Indirect Tax Reform",1,85,4,15,"Joram Mayshar","Shlomo Yitzhaki","","","","OtherAuthor","OtherAuthor","","","",2
"1529","Data Markets and the Production of Surveys",5,64,1,26,"Tomas Philipson","","","","","OtherAuthor","","","","",1
"1530","Data Markets, Missing Data, and Incentive Pay",4,69,4,13,"Tomas Philipson","","","","","OtherAuthor","","","","",1
"1531","David Hume and Monetarism",3,95,1,13,"Thomas Mayer","","","","","OtherAuthor","","","","",1
"1532","Merit Wants Revisited",1,73,5,12,"Edwin G. West","Michael McKee","","","","OtherAuthor","OtherAuthor","","","",2
"1533","Dealer Price Discrimination in New Car Purchases: Evidence from the Consumer Exp",2,104,3,33,"Pinelopi Koujianou Goldberg","","","","","goldberg6","","","","",1
"1534","Debt and Seniority: An Analysis of the Role of Hard Claims in Constraining Manag",1,85,3,19,"Oliver Hart","John Moore","","","","Hart1","OtherAuthor","","","",2
"1535","Debt Maturity and the Deadweight Cost of Leverage: Optimally Financing Banking F",1,84,1,12,"Mark J. Flannery","","","","","OtherAuthor","","","","",1
"1536","Debt Maturity Structure and Liquidity Risk",3,106,3,29,"Douglas W. Diamond","","","","","OtherAuthor","","","","",1
"1537","Debt with Potential Repudiation: Theoretical and Empirical Analysis",5,48,2,21,"Jonathan Eaton","Mark Gersovitz","","","","Eaton17","Gersovitz","","","",2
"1538","Debt, Deficits, and Finite Horizons",2,93,2,25,"Olivier J. Blanchard","","","","","Blanchard4","","","","",1
"1539","Debt-Constrained Asset Markets",5,60,4,24,"Timothy J. Kehoe","David K. Levine","","","","Kehoe10A","Levine11","","","",2
"1540","Decentralization and Epsilon-Rational Competitive Equilibria",4,50,1,8,"Steven M. Goldman","Kenneth M. Kletzer","","","","Goldman7","OtherAuthor","","","",2
"1541","Decentralization, Duplication, and Delay",2,98,4,24,"Patrick Bolton","Joseph Farrell","","","","Bolton5","Farrell7","","","",2
"1542","Decentralization, Externalities, and Efficiency",5,62,2,25,"Peter Klibanoff","Jonathan Morduch","","","","OtherAuthor","OtherAuthor","","","",2
"1543","Decentralized Trading, Strategic Behaviour and the Walrasian Outcome",5,57,1,16,"Ariel Rubinstein","Asher Wolinsky","","","","Rubinstein5","Wolinsky","","","",2
"1544","Decision Theory without Logical Omniscience: Toward an Axiomatic Framework for B",5,66,2,23,"Barton L. Lipman","","","","","LIPMAN21","","","","",1
"1545","Decline of Male Labor Market Participation: The Role of Declining Market Opportu",3,107,1,43,"Chinhui Juhn","","","","","OtherAuthor","","","","",1
"1546","Declining Industries and Political-Support Protectionist Motives",1,72,5,8,"Arye L. Hillman","","","","","OtherAuthor","","","","",1
"1547","Declining Industries and Political-Support Protectionist Motives",1,74,1,1,"Arye L. Hillman","","","","","OtherAuthor","","","","",1
"1548","Declining Reservation Wages and Learning",5,55,4,11,"Kenneth Burdett","Tara Vishwanath","","","","Burdett","OtherAuthor","","","",2
"1549","Decomposing Learning by Doing in New Plants",2,101,4,23,"Byong-Hyong Bahk","Michael Gort","","","","OtherAuthor","OtherAuthor","","","",2
"1550","Decomposition and Characterization of Risk with a Continuum of Random Variables",4,63,5,30,"Nabil Ibraheem Al-Najjar","","","","","OtherAuthor","","","","",1
"1551","Decomposition and Characterization of Risk with a Continuum of Random Variables:",4,67,4,2,"Nabil I. Al-Najjar","","","","","OtherAuthor","","","","",1
"1552","Decreasing Costs in International Trade and Frank Graham's Argument for Protecti",4,50,5,26,"Wilfred J. Ethier","","","","","Ethier","","","","",1
"1553","Decreasing Relative Risk Aversion and Tests of Risk Sharing",4,69,2,12,"Masao Ogaki","Qiang Zhang","","","","OGAKI","OtherAuthor","","","",2
"1554","Decreasing Risk Aversion and Mean-Variance Analysis",4,53,4,18,"Larry G. Epstein","","","","","Epstein13","","","","",1
"1555","Default and Renegotiation: A Dynamic Model of Debt",3,113,1,41,"Oliver Hart","John Moore","","","","Hart1","OtherAuthor","","","",1
"1556","Defects in Disneyland: Quality Control as a Two-Part Tariff",5,50,1,11,"Avishay Braverman","J. Luis Guasch","Steven Salop","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"1557","Defense Procurement Fraud, Penalties, and Contractor Influence",2,107,4,34,"Jonathan M. Karpoff","D. Scott Lee","Valaria P. Vendrzyk","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"1558","Deficient Foresight: A Troublesome Theme in Keynesian Economics",1,72,3,8,"Alan Coddington","","","","","OtherAuthor","","","","",1
"1559","Deficit Announcements and Interest Rates",1,77,5,6,"Paul Wachtel","John Young","","","","OtherAuthor","OtherAuthor","","","",2
"1560","Delay and Cycles",5,63,2,30,"Douglas Gale","","","","","Gale17","","","","",1
"1561","Delegation Games in Customs Unions",5,58,2,7,"Konstantine Gatsios","Larry Karp","","","","OtherAuthor","OtherAuthor","","","",2
"1562","Delegation of Monitoring in a Principal-Agent Relationship",5,64,3,21,"Roland Strausz","","","","","OtherAuthor","","","","",1
"1563","Delivered Pricing and Multiple Basing Point Equilibria: A Reevaluation",3,99,2,21,"Stephen J. DeCano","","","","","OtherAuthor","","","","",1
"1564","Demand Curves for Animal Consumers",3,96,1,16,"John H. Kagel","Raymond C. Battalio","Howard Rachlin","Leonard Green","","KAGEL32","Battalio","OtherAuthor","OtherAuthor","",4
"1565","Demand for Differentiated Products, Discrete Choice Models, and the Characterist",5,56,1,15,"Simon P. Anderson","Andre De Palma","Jacques-Francois Thisse","","","Anderson24","OtherAuthor","OtherAuthor","","",3
"1566","Demand Growth, Profitability, and Entry",3,94,2,15,"Takeo Nakao","","","","","OtherAuthor","","","","",1
"1567","Demand Reduction in Multiunit Auctions: Evidence from a Sportscard Field Experim",1,90,4,12,"John A. List","David Lucking-Reiley","","","","OtherAuthor","OtherAuthor","","","",2
"1568","Demand Systems With and Without Errors",1,91,3,8,"Arthur Lewbel","","","","","OtherAuthor","","","","",1
"1569","Demand Uncertainty and Price Maintenance: Markdowns as Destructive Competition",1,87,4,23,"Raymond Deneckere","Howard P. Marvel","James Peck","","","Deneckere","MARVEL","PECK","","",3
"1570","Demand Uncertainty and Sales: A Study of Fashion and Markdown Pricing",1,78,5,18,"B. Peter Pashigian","","","","","OtherAuthor","","","","",1
"1571","Demand Uncertainty, Inventories, and Resale Price Maintenance",3,111,3,29,"Raymond Deneckere","Howard P. Marvel","James Peck","","","Deneckere","MARVEL","PECK","","",3
"1572","Demand-Driven Innovation and Spatial Competition Over Time",5,54,1,10,"Boyan Jovanovic","Rafael Rob","","","","Jovanovic","Rob","","","",2
"1573","Democracies Pay Higher Wages",3,114,3,32,"Dani Rodrik","","","","","OtherAuthor","","","","",1
"1574","Democratic Economic Policy",2,93,2,4,"Charles K. Rowley","","","","","OtherAuthor","","","","",1
"1575","Demographic Variables in Demand Analysis",4,49,6,19,"Robert A. Pollak","Terence J. Wales","","","","Pollak","OtherAuthor","","","",2
"1576","Denumerable-Armed Bandits",4,60,5,26,"Jeffrey S. Banks","Rangarajan K. Sundaram","","","","OtherAuthor","OtherAuthor","","","",2
"1577","Dependency Rates and Aggregate Savings: A New International Cross-Section Study",1,72,3,8,"Rati Ram","","","","","OtherAuthor","","","","",1
"1578","Dependents and the Demand for Life Insurance",1,79,3,16,"Frank D. Lewis","","","","","OtherAuthor","","","","",1
"1579","Deposit Insurance, Regulation, and Moral Hazard in the Thrift Industry: Evidence",1,82,4,22,"Richard S. Grossman","","","","","OtherAuthor","","","","",1
"1580","Deposit Insurance, Risk, and Market Power in Banking",1,80,5,18,"Michael C. Keeley","","","","","OtherAuthor","","","","",1
"1581","Deregulation and Oligopolistic Price-Quality Rivalry",1,71,1,11,"James H. Vander Weide","Julie H. Zalkind","","","","OtherAuthor","OtherAuthor","","","",2
"1582","Deregulation and the Future of Intercity Passenger Travel",2,96,6,3,"Theodore E. Keeler","","","","","Keeler","","","","",1
"1583","Derivation of Social Time Preference Rates for the United States and Canada",3,99,4,10,"Erhun Kula","","","","","OtherAuthor","","","","",1
"1584","Derivatives in a Dynamic Environment",1,88,3,21,"Myron S. Scholes","","","","","OtherAuthor","","","","",1
"1585","Design Innovation and Fashion Cycles",1,85,4,22,"Wolfgang Pesendorfer","","","","","Pesendorfer","","","","",1
"1586","Design Parameters in Housing Construction and the Market for Urban Housing",4,48,1,26,"Hans-Jurgen Buttler","Martin J. Beckmann","","","","OtherAuthor","OtherAuthor","","","",2
"1587","Desirability of Compatibility in the Absence of Network Externalities",1,79,5,17,"Nicholas Economides","","","","","OtherAuthor","","","","",1
"1588","Detection of Bid Rigging in Procurement Auctions",2,101,3,21,"Robert H. Porter","J. Douglas Zona","","","","Porter9","OtherAuthor","","","",2
"1589","Determinants of Democracy",2,107,6,26,"Robert J. Barro","","","","","Barro","","","","",1
"1590","Determinants of Privatization Prices",3,112,4,61,"Florencio Lopez-de-Silanes","","","","","OtherAuthor","","","","",1
"1591","Determinants of the Equilibrium Real Exchange Rate",1,78,1,6,"Peter Neary","","","","","OtherAuthor","","","","",1
"1592","Determinateness of the Utility Function: Revisiting a Controversy of the Thirtie",5,49,2,5,"Kaushik Basu","","","","","BASU","","","","",1
"1593","Determining the Impact of Federal Antidiscrimination Policy on the Economic Stat",1,79,1,40,"James J. Heckman","Brook S. Payner","","","","Heckman","OtherAuthor","","","",2
"1594","Determining the Number of Factors in Approximate Factor Models",4,70,1,31,"Jushan Bai","Serena Ng","","","","Bai17","Ng33","","","",2
"1595","Deterministic Models for Production of Services with Stochastic Technology",4,48,5,18,"Joseph Lipscomb","David Zalkind","","","","OtherAuthor","OtherAuthor","","","",2
"1596","Deterrence by Market Sharing: A Strategic Incentive for Licensing",1,74,5,11,"Nancy T. Gallini","","","","","OtherAuthor","","","","",1
"1597","Diamonds Are a Government's Best Friend: Burden-Free Taxes on Goods Valued for T",1,77,1,6,"Yew-Kwang Ng","","","","","OtherAuthor","","","","",1
"1598","Did Community Rating Induce an Adverse Selection Death Spiral? Evidence from New",1,92,1,15,"Thomas Buchmueller","John DiNardo","","","","OtherAuthor","DINARDO14","","","",2
"1599","Did the Debt Crisis Cause the Investment Crisis?",3,107,4,26,"Andrew M. Warner","","","","","OtherAuthor","","","","",1
"1600","Did the Elimination of Mandatory Retirement Affect Faculty Retirement?",1,92,4,23,"Orley Ashenfelter","David Card","","","","Ashenfelter","Card7","","","",2
"1601","Did the Federal Trade Commission's Advertising Substantiation Program Promote Mo",1,80,1,13,"Raymond D. Sauer","Keith B. Leffler","","","","OtherAuthor","Leffler","","","",2
"1602","Did the United States Transmit the Great Depression to the Rest of the World?",1,75,5,5,"Gertrud M. Fremling","","","","","OtherAuthor","","","","",1
